"tempo" "com" "a" "b" "status"
"1156093979" "CONN" "1" "1092" "up"
"1156093979" "CONN" "1" "1092" "down"
"1156092086" "CONN" "1" "1095" "up"
"1156092086" "CONN" "1" "1095" "down"
"1156085432" "CONN" "1" "11" "up"
"1156085432" "CONN" "1" "11" "down"
"1156085471" "CONN" "1" "11" "up"
"1156085471" "CONN" "1" "11" "down"
"1156085630" "CONN" "1" "11" "up"
"1156085646" "CONN" "1" "11" "down"
"1156085670" "CONN" "1" "11" "up"
"1156085685" "CONN" "1" "11" "down"
"1156085974" "CONN" "1" "11" "up"
"1156085974" "CONN" "1" "11" "down"
"1156086379" "CONN" "1" "11" "up"
"1156086379" "CONN" "1" "11" "down"
"1156086407" "CONN" "1" "11" "up"
"1156086407" "CONN" "1" "11" "down"
"1156086413" "CONN" "1" "11" "up"
"1156086425" "CONN" "1" "11" "down"
"1156086445" "CONN" "1" "11" "up"
"1156086445" "CONN" "1" "11" "down"
"1156086619" "CONN" "1" "11" "up"
"1156086619" "CONN" "1" "11" "down"
"1156086627" "CONN" "1" "11" "up"
"1156086627" "CONN" "1" "11" "down"
"1156087184" "CONN" "1" "11" "up"
"1156087198" "CONN" "1" "11" "down"
"1156087200" "CONN" "1" "11" "up"
"1156087213" "CONN" "1" "11" "down"
"1156087234" "CONN" "1" "11" "up"
"1156087246" "CONN" "1" "11" "down"
"1156087254" "CONN" "1" "11" "up"
"1156087254" "CONN" "1" "11" "down"
"1156087524" "CONN" "1" "11" "up"
"1156087530" "CONN" "1" "11" "down"
"1156087796" "CONN" "1" "11" "up"
"1156087796" "CONN" "1" "11" "down"
"1156089205" "CONN" "1" "11" "up"
"1156089205" "CONN" "1" "11" "down"
"1156089207" "CONN" "1" "11" "up"
"1156089207" "CONN" "1" "11" "down"
"1156089240" "CONN" "1" "11" "up"
"1156089240" "CONN" "1" "11" "down"
"1156089311" "CONN" "1" "11" "up"
"1156089311" "CONN" "1" "11" "down"
"1156089416" "CONN" "1" "11" "up"
"1156089416" "CONN" "1" "11" "down"
"1156089601" "CONN" "1" "11" "up"
"1156089601" "CONN" "1" "11" "down"
"1156089613" "CONN" "1" "11" "up"
"1156089613" "CONN" "1" "11" "down"
"1156089699" "CONN" "1" "11" "up"
"1156089718" "CONN" "1" "11" "down"
"1156089725" "CONN" "1" "11" "up"
"1156089725" "CONN" "1" "11" "down"
"1156089749" "CONN" "1" "11" "up"
"1156089749" "CONN" "1" "11" "down"
"1156089778" "CONN" "1" "11" "up"
"1156089778" "CONN" "1" "11" "down"
"1156090224" "CONN" "1" "11" "up"
"1156090224" "CONN" "1" "11" "down"
"1156091580" "CONN" "1" "11" "up"
"1156091591" "CONN" "1" "11" "down"
"1156091601" "CONN" "1" "11" "up"
"1156091601" "CONN" "1" "11" "down"
"1156091700" "CONN" "1" "11" "up"
"1156091700" "CONN" "1" "11" "down"
"1156091811" "CONN" "1" "11" "up"
"1156091811" "CONN" "1" "11" "down"
"1156091861" "CONN" "1" "11" "up"
"1156091861" "CONN" "1" "11" "down"
"1156091862" "CONN" "1" "11" "up"
"1156091862" "CONN" "1" "11" "down"
"1156092016" "CONN" "1" "11" "up"
"1156092027" "CONN" "1" "11" "down"
"1156092060" "CONN" "1" "11" "up"
"1156092060" "CONN" "1" "11" "down"
"1156092069" "CONN" "1" "11" "up"
"1156092069" "CONN" "1" "11" "down"
"1156092146" "CONN" "1" "11" "up"
"1156092146" "CONN" "1" "11" "down"
"1156093201" "CONN" "1" "11" "up"
"1156093201" "CONN" "1" "11" "down"
"1156093919" "CONN" "1" "11" "up"
"1156093919" "CONN" "1" "11" "down"
"1156088509" "CONN" "1" "1103" "up"
"1156088509" "CONN" "1" "1103" "down"
"1156087890" "CONN" "1" "1107" "up"
"1156087890" "CONN" "1" "1107" "down"
"1156087942" "CONN" "1" "1109" "up"
"1156087942" "CONN" "1" "1109" "down"
"1156093237" "CONN" "1" "1109" "up"
"1156093237" "CONN" "1" "1109" "down"
"1156093623" "CONN" "1" "1109" "up"
"1156093739" "CONN" "1" "1109" "down"
"1156086224" "CONN" "1" "1110" "up"
"1156086224" "CONN" "1" "1110" "down"
"1156086461" "CONN" "1" "113" "up"
"1156086461" "CONN" "1" "113" "down"
"1156085060" "CONN" "1" "114" "up"
"1156085060" "CONN" "1" "114" "down"
"1156085557" "CONN" "1" "114" "up"
"1156085573" "CONN" "1" "114" "down"
"1156086951" "CONN" "1" "114" "up"
"1156086951" "CONN" "1" "114" "down"
"1156087346" "CONN" "1" "114" "up"
"1156087346" "CONN" "1" "114" "down"
"1156086177" "CONN" "1" "115" "up"
"1156086177" "CONN" "1" "115" "down"
"1156087749" "CONN" "1" "115" "up"
"1156087760" "CONN" "1" "115" "down"
"1156087796" "CONN" "1" "115" "up"
"1156087796" "CONN" "1" "115" "down"
"1156088146" "CONN" "1" "115" "up"
"1156088146" "CONN" "1" "115" "down"
"1156088764" "CONN" "1" "115" "up"
