"a" "b" "tempo"
"2" "1038" 3000
"2" "1045" 0
"2" "1046" 0
"2" "1048" 0
"2" "1054" 0
"2" "1056" 41000
"2" "1058" 290000
"2" "1060" 0
"2" "1070" 183000
"2" "1072" 0
"2" "1074" 308000
"2" "1075" 0
"2" "1080" 0
"2" "1081" 14000
"2" "1082" 0
"2" "1083" 70000
"2" "1087" 0
"2" "1090" 0
"2" "1091" 0
"2" "1092" 102000
"2" "1093" 0
"2" "1095" 0
"2" "1107" 69000
"2" "1109" 571000
"3" "4" 167000
"3" "5" 261000
"3" "6" 121000
"3" "7" 313000
"3" "8" 295000
"3" "9" 748000
"3" "10" 181000
"3" "11" 223000
"3" "12" 220000
"3" "13" 481000
"3" "14" 87000
"3" "15" 136000
"3" "16" 137000
"3" "17" 143000
"3" "18" 98000
"3" "19" 389000
"3" "20" 34000
"3" "21" 109000
"3" "22" 30000
"3" "23" 125000
"3" "24" 44000
"3" "25" 313000
"3" "26" 515000
"3" "27" 11000
"3" "28" 30000
"3" "29" 49000
"3" "30" 341000
"3" "31" 60000
"3" "32" 193000
"3" "33" 20000
"3" "34" 2e+05
"3" "35" 131000
"3" "36" 233000
"3" "37" 152000
"3" "38" 282000
"3" "39" 312000
"3" "40" 201000
"3" "41" 0
"3" "42" 0
"3" "43" 87000
"3" "44" 51000
"3" "45" 263000
"3" "46" 442000
"3" "47" 45000
"3" "48" 107000
"3" "49" 148000
"3" "50" 406000
"3" "51" 213000
"3" "52" 338000
"3" "53" 141000
"3" "54" 169000
"3" "55" 467000
"3" "56" 219000
"3" "57" 44000
"3" "58" 152000
"3" "59" 311000
"3" "60" 185000
"3" "61" 177000
"3" "62" 46000
"3" "70" 387000
"3" "73" 48000
"3" "85" 58000
"3" "88" 228000
"3" "90" 49000
"3" "92" 0
"3" "95" 839000
"3" "102" 0
"3" "104" 0
"3" "106" 14000
"3" "108" 40000
"3" "114" 59000
"3" "115" 202000
"3" "120" 540000
"3" "121" 15000
"3" "126" 0
"3" "136" 0
"3" "139" 0
"3" "144" 71000
"3" "149" 0
"3" "150" 15000
"3" "151" 175000
"3" "153" 0
"3" "157" 0
"3" "159" 0
"3" "167" 0
"3" "173" 0
"3" "176" 0
"3" "197" 0
"3" "207" 0
"3" "209" 0
"3" "210" 0
"3" "211" 0
"3" "214" 0
"3" "218" 12000
"3" "220" 0
"3" "224" 0
"3" "230" 0
"3" "236" 0
"3" "252" 0
"3" "253" 0
"3" "258" 0
"3" "265" 0
"3" "269" 0
"3" "270" 0
"3" "271" 38000
"3" "272" 0
"3" "284" 12000
"3" "285" 0
"3" "286" 0
"3" "287" 14000
"3" "292" 0
"3" "294" 188000
"3" "297" 16000
"3" "300" 0
"3" "306" 82000
"3" "311" 39000
"3" "318" 24000
"3" "319" 0
"3" "320" 0
"3" "321" 0
"3" "323" 0
"3" "329" 0
"3" "330" 0
"3" "332" 0
"3" "337" 501000
"3" "338" 2e+05
"3" "343" 0
"3" "344" 0
"3" "345" 75000
"3" "350" 13000
"3" "353" 19000
"3" "363" 42000
"3" "365" 0
"3" "366" 0
"3" "375" 374000
"3" "377" 394000
"3" "394" 0
"3" "395" 4000
"3" "396" 0
"3" "401" 633000
"3" "408" 0
"3" "410" 163000
"3" "423" 0
"3" "427" 94000
"3" "428" 0
"3" "433" 401000
"3" "435" 32000
"3" "436" 2e+05
"3" "437" 76000
"3" "439" 175000
"3" "440" 0
"3" "451" 0
"3" "459" 23000
"3" "460" 346000
"3" "462" 0
"3" "463" 616000
"3" "464" 0
"3" "467" 0
"3" "468" 0
"3" "469" 19000
"3" "471" 0
"3" "472" 16000
"3" "476" 20000
"3" "487" 19000
"3" "495" 0
"3" "506" 0
"3" "510" 0
"3" "516" 0
"3" "524" 0
"3" "530" 0
"3" "534" 42000
"3" "540" 33000
"3" "541" 20000
"3" "548" 1021000
"3" "550" 0
"3" "551" 0
"3" "554" 0
"3" "557" 137000
"3" "566" 0
"3" "571" 0
"3" "573" 0
"3" "574" 1000
"3" "575" 420000
"3" "585" 81000
"3" "592" 0
"3" "596" 108000
"3" "599" 0
"3" "611" 67000
"3" "615" 0
"3" "617" 0
"3" "621" 0
"3" "622" 0
"3" "626" 0
"3" "631" 0
"3" "632" 0
"3" "635" 0
"3" "637" 0
"3" "646" 0
"3" "653" 0
"3" "654" 0
"3" "657" 0
"3" "658" 0
"3" "662" 0
"3" "665" 0
"3" "667" 0
"3" "668" 0
"3" "671" 0
"3" "672" 0
"3" "674" 0
"3" "676" 44000
"3" "677" 0
"3" "682" 0
"3" "691" 0
"3" "697" 0
"3" "701" 0
"3" "704" 0
"3" "712" 0
"3" "713" 0
"3" "714" 0
"3" "721" 0
"3" "724" 0
"3" "725" 0
"3" "728" 0
"3" "730" 0
"3" "731" 0
"3" "736" 0
"3" "744" 0
"3" "752" 0
"3" "753" 0
"3" "755" 0
"3" "757" 0
"3" "759" 0
"3" "768" 0
"3" "770" 0
"3" "775" 0
"3" "787" 0
"3" "793" 0
"3" "794" 0
"3" "798" 0
"3" "802" 272000
"3" "807" 0
"3" "808" 21000
"3" "809" 0
"3" "813" 397000
"3" "839" 0
"3" "846" 0
"3" "847" 0
"3" "848" 0
"3" "851" 107000
"3" "852" 0
"3" "860" 218000
"3" "861" 58000
"3" "870" 0
"3" "873" 180000
"3" "881" 0
"3" "882" 241000
"3" "885" 0
"3" "891" 115000
"3" "908" 4000
"3" "920" 89000
"3" "921" 0
"3" "926" 107000
"3" "928" 0
"3" "939" 0
"3" "940" 0
"3" "941" 17000
"3" "943" 0
"3" "946" 0
"3" "947" 0
"3" "948" 0
"3" "951" 0
"3" "958" 0
"3" "963" 0
"3" "969" 0
"3" "970" 0
"3" "972" 0
"3" "983" 0
"3" "984" 0
"3" "987" 106000
"3" "992" 0
"3" "994" 58000
"3" "995" 0
"3" "996" 13000
"3" "998" 0
"3" "1002" 0
"3" "1003" 0
"3" "1005" 12000
"3" "1009" 0
"3" "1017" 32000
"3" "1027" 106000
"3" "1030" 0
"3" "1035" 0
"3" "1037" 0
"3" "1045" 0
"3" "1046" 81000
"3" "1051" 0
"3" "1058" 82000
"3" "1059" 0
"3" "1060" 0
"3" "1061" 0
"3" "1065" 0
"3" "1069" 19000
"3" "1070" 233000
"3" "1072" 0
"3" "1074" 93000
"3" "1075" 0
"3" "1077" 0
"3" "1081" 0
"3" "1083" 0
"3" "1084" 15000
"3" "1091" 0
"3" "1092" 168000
"3" "1094" 0
"3" "1107" 13000
"3" "1109" 0
"4" "5" 47000
"4" "6" 17000
"4" "7" 73000
"4" "8" 110000
"4" "9" 127000
"4" "10" 821000
"4" "11" 56000
"4" "12" 258000
"4" "14" 0
"4" "15" 169000
"4" "17" 547000
"4" "18" 238000
"4" "19" 192000
"4" "20" 183000
"4" "21" 0
"4" "22" 921000
"4" "23" 259000
"4" "24" 178000
"4" "25" 134000
"4" "26" 36000
"4" "27" 2000
"4" "29" 34000
"4" "30" 63000
"4" "31" 6000
"4" "32" 23000
"4" "33" 48000
"4" "34" 2000
"4" "35" 52000
"4" "36" 11000
"4" "37" 105000
"4" "38" 81000
"4" "39" 38000
"4" "40" 33000
"4" "41" 0
"4" "42" 34000
"4" "43" 18000
"4" "44" 10000
"4" "45" 54000
"4" "46" 0
"4" "47" 0
"4" "48" 93000
"4" "49" 92000
"4" "50" 19000
"4" "51" 50000
"4" "52" 289000
"4" "53" 144000
"4" "54" 152000
"4" "55" 31000
"4" "56" 83000
"4" "57" 70000
"4" "58" 35000
"4" "59" 0
"4" "60" 145000
"4" "61" 44000
"4" "62" 88000
"4" "70" 269000
"4" "73" 0
"4" "81" 49000
"4" "88" 139000
"4" "90" 11000
"4" "93" 0
"4" "95" 33000
"4" "102" 0
"4" "104" 0
"4" "105" 0
"4" "106" 0
"4" "113" 0
"4" "114" 20000
"4" "115" 480000
"4" "120" 138000
"4" "121" 21000
"4" "126" 0
"4" "144" 0
"4" "148" 0
"4" "150" 634000
"4" "151" 264000
"4" "153" 0
"4" "155" 0
"4" "159" 0
"4" "176" 0
"4" "269" 0
"4" "271" 478000
"4" "277" 0
"4" "279" 2000
"4" "284" 0
"4" "285" 4000
"4" "287" 87000
"4" "292" 0
"4" "294" 0
"4" "297" 123000
"4" "306" 93000
"4" "311" 172000
"4" "315" 0
"4" "318" 88000
"4" "325" 0
"4" "329" 0
"4" "332" 0
"4" "337" 455000
"4" "338" 80000
"4" "345" 118000
"4" "353" 17000
"4" "357" 0
"4" "358" 0
"4" "360" 0
"4" "361" 0
"4" "363" 311000
"4" "375" 295000
"4" "377" 803000
"4" "396" 68000
"4" "401" 552000
"4" "403" 0
"4" "408" 0
"4" "410" 30000
"4" "424" 2000
"4" "425" 0
"4" "427" 58000
"4" "433" 881000
"4" "435" 0
"4" "436" 360000
"4" "437" 94000
"4" "439" 692000
"4" "446" 0
"4" "448" 0
"4" "459" 12000
"4" "460" 92000
"4" "462" 0
"4" "463" 1551000
"4" "465" 0
"4" "472" 255000
"4" "475" 0
"4" "487" 0
"4" "495" 0
"4" "501" 0
"4" "505" 0
"4" "506" 0
"4" "507" 0
"4" "511" 0
"4" "516" 0
"4" "517" 0
"4" "529" 0
"4" "534" 48000
"4" "539" 0
"4" "540" 116000
"4" "541" 0
"4" "543" 0
"4" "548" 837000
"4" "554" 0
"4" "557" 1019000
"4" "558" 2000
"4" "563" 0
"4" "574" 497000
"4" "575" 68000
"4" "585" 0
"4" "590" 0
"4" "596" 16000
"4" "599" 0
"4" "609" 0
"4" "611" 340000
"4" "615" 0
"4" "617" 0
"4" "622" 0
"4" "631" 0
"4" "638" 0
"4" "639" 0
"4" "642" 0
"4" "676" 0
"4" "682" 0
"4" "689" 0
"4" "697" 0
"4" "702" 0
"4" "704" 0
"4" "705" 0
"4" "727" 0
"4" "731" 0
"4" "742" 0
"4" "745" 12000
"4" "751" 0
"4" "757" 0
"4" "763" 0
"4" "768" 0
"4" "784" 0
"4" "793" 0
"4" "796" 0
"4" "798" 0
"4" "799" 0
"4" "800" 0
"4" "802" 34000
"4" "813" 257000
"4" "827" 0
"4" "836" 0
"4" "841" 0
"4" "846" 0
"4" "849" 0
"4" "851" 96000
"4" "860" 470000
"4" "861" 603000
"4" "873" 79000
"4" "881" 2000
"4" "882" 181000
"4" "891" 81000
"4" "896" 0
"4" "900" 0
"4" "920" 475000
"4" "921" 0
"4" "926" 253000
"4" "928" 0
"4" "934" 0
"4" "936" 0
"4" "939" 0
"4" "941" 120000
"4" "942" 0
"4" "953" 0
"4" "957" 0
"4" "958" 0
"4" "959" 0
"4" "963" 3000
"4" "966" 0
"4" "968" 0
"4" "969" 0
"4" "972" 0
"4" "977" 0
"4" "987" 0
"4" "992" 0
"4" "993" 0
"4" "994" 52000
"4" "996" 19000
"4" "998" 12000
"4" "1003" 235000
"4" "1005" 0
"4" "1006" 2000
"4" "1009" 0
"4" "1012" 0
"4" "1027" 0
"4" "1028" 0
"4" "1030" 0
"4" "1033" 0
"4" "1038" 0
"4" "1046" 0
"4" "1058" 201000
"4" "1065" 0
"4" "1067" 0
"4" "1070" 29000
"4" "1074" 253000
"4" "1075" 0
"4" "1081" 174000
"4" "1082" 0
"4" "1083" 4000
"4" "1087" 17000
"4" "1088" 0
"4" "1092" 84000
"4" "1107" 12000
"4" "1109" 84000
"5" "6" 62000
"5" "7" 306000
"5" "8" 68000
"5" "9" 482000
"5" "10" 151000
"5" "11" 64000
"5" "12" 89000
"5" "13" 102000
"5" "14" 127000
"5" "15" 203000
"5" "16" 360000
"5" "17" 253000
"5" "18" 89000
"5" "19" 87000
"5" "20" 157000
"5" "21" 238000
"5" "22" 40000
"5" "23" 95000
"5" "24" 177000
"5" "25" 202000
"5" "26" 252000
"5" "27" 13000
"5" "28" 0
"5" "29" 61000
"5" "30" 221000
"5" "31" 18000
"5" "32" 17000
"5" "33" 82000
"5" "34" 241000
"5" "35" 37000
"5" "36" 63000
"5" "37" 150000
"5" "38" 98000
"5" "39" 177000
"5" "40" 102000
"5" "41" 31000
"5" "42" 19000
"5" "43" 111000
"5" "44" 0
"5" "45" 63000
"5" "46" 358000
"5" "47" 27000
"5" "48" 30000
"5" "49" 70000
"5" "50" 130000
"5" "51" 120000
"5" "52" 230000
"5" "53" 165000
"5" "54" 359000
"5" "55" 281000
"5" "56" 103000
"5" "57" 35000
"5" "58" 86000
"5" "59" 345000
"5" "60" 188000
"5" "61" 55000
"5" "62" 18000
"5" "70" 602000
"5" "73" 0
"5" "76" 0
"5" "85" 0
"5" "88" 414000
"5" "90" 26000
"5" "94" 0
"5" "95" 417000
"5" "102" 0
"5" "108" 11000
"5" "113" 0
"5" "114" 47000
"5" "115" 97000
"5" "119" 0
"5" "120" 52000
"5" "121" 138000
"5" "126" 0
"5" "136" 0
"5" "144" 121000
"5" "147" 0
"5" "148" 0
"5" "149" 16000
"5" "150" 36000
"5" "151" 230000
"5" "153" 12000
"5" "157" 134000
