Nº de nós: 1112
Total Geral Contatos: 132510
Total Tipo Contato (A -> B): 15767
Total Tempo Contato: 1033288
Total Tempo Inter Contato: 30776014
Total Contatos(tempo = 0): 94106
Total Conexões(tempo > 0): 38404
Grau Geral: 15767
Grau Medio: 28.3579136690647
Densidade: 0.0127623373848176
Media Nº Contatos: 8.40426206634109
Media Tempo de Contatos: 65.5348512716433
Media Tempo Inter Contatos: 1951.92579438067
 
"a" "b" "num_contatos" "tempo_contatos" "inter_contatos" "media_tcontatos" "media_intercon" "porc_contatos" "porc_tempo_cont" "porc_inter_cont" "porc_media_tcont" "porc_media_tinter"
"1" "295" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "297" 2 0 1838 0 1838 1.50932005131688e-05 0 5.97218340230804e-05 0 0.00062659047918445
"1" "300" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "301" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "302" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "306" 32 433 6483 13.53125 209.129032258065 0.000241491208210701 0.000419050642221723 0.000210651060920365 0.000196952504506024 7.12939393547121e-05
"1" "311" 6 3 5916 0.5 1183.2 4.52796015395065e-05 2.90335317936529e-06 0.000192227622459491 7.27769069768217e-06 0.000403363359614277
"1" "318" 9 44 5812 4.88888888888889 726.5 6.79194023092597e-05 4.25825132973576e-05 0.000188848367433158 7.11596423773367e-05 0.000247670284617793
"1" "320" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "337" 27 611 6146 22.6296296296296 236.384615384615 0.000203758206927779 0.000591316264197397 0.000199700974921574 0.000329382890095097 8.05856090455267e-05
"1" "338" 20 331 6332 16.55 333.263157894737 0.000150932005131688 0.000320336634123303 0.000205744642564823 0.00024089156209328 0.000113612362241451
"1" "343" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "344" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "345" 10 293 5624 29.3 624.888888888889 7.54660025658441e-05 0.000283560827184676 0.000182739714116324 0.000426472674884175 0.000213030156869384
"1" "347" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "348" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "349" 1 16 0 16 0 7.54660025658441e-06 1.54845502899482e-05 0 0.000232886102325829 0
"1" "351" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "353" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "358" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "359" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "362" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
