"a" "b" "contagem"
"3" "292" 1
"3" "294" 13
"3" "297" 3
"3" "300" 1
"3" "306" 13
"3" "311" 13
"3" "318" 3
"3" "319" 1
"3" "320" 1
"3" "321" 1
"3" "323" 1
"3" "329" 1
"3" "330" 1
"3" "332" 1
"3" "337" 35
"3" "338" 12
"3" "343" 1
"3" "344" 1
"3" "345" 6
"3" "350" 1
"3" "353" 2
"3" "363" 7
"3" "365" 1
"3" "366" 1
"3" "375" 30
"3" "377" 22
"3" "394" 1
"3" "395" 1
"3" "396" 5
"3" "401" 23
"3" "408" 1
"3" "410" 5
"3" "423" 1
"3" "427" 14
"3" "428" 1
"3" "433" 17
"3" "435" 7
"3" "436" 26
"3" "437" 23
"3" "439" 13
"3" "440" 1
"3" "451" 2
"3" "459" 4
"3" "460" 25
"3" "462" 1
"3" "463" 20
"3" "464" 1
"3" "467" 1
"3" "468" 1
"3" "469" 1
"3" "471" 1
"3" "472" 7
"3" "476" 5
"3" "487" 3
"3" "495" 1
"3" "506" 1
"3" "510" 1
"3" "516" 1
"3" "524" 1
"3" "530" 1
"3" "534" 9
"3" "540" 3
"3" "541" 1
"3" "548" 36
"3" "550" 1
"3" "551" 1
"3" "554" 2
"3" "557" 6
"3" "566" 1
"3" "571" 1
"3" "573" 1
"3" "574" 2
"3" "575" 31
"3" "585" 5
"3" "592" 1
"3" "596" 8
"3" "599" 1
"3" "611" 5
"3" "615" 1
"3" "617" 1
"3" "621" 1
"3" "622" 1
"3" "626" 1
"3" "631" 1
"3" "632" 1
"3" "635" 1
"3" "637" 1
"3" "646" 1
"3" "653" 1
"3" "654" 1
"3" "657" 1
"3" "658" 1
"3" "662" 1
"3" "665" 1
"3" "667" 1
"3" "668" 1
"3" "671" 1
"3" "672" 1
"3" "674" 1
"3" "676" 2
"3" "677" 1
"3" "682" 1
"3" "691" 1
"3" "697" 1
"3" "701" 1
"3" "704" 1
"3" "712" 1
"3" "713" 1
"3" "714" 1
"3" "721" 1
"3" "724" 1
"3" "725" 1
"3" "728" 1
"3" "730" 1
"3" "731" 1
"3" "736" 1
"3" "744" 1
"3" "752" 1
"3" "753" 1
"3" "755" 1
"3" "757" 1
"3" "759" 1
"3" "768" 1
"3" "770" 1
"3" "775" 1
"3" "787" 1
"3" "793" 1
"3" "794" 1
"3" "798" 1
"3" "802" 17
"3" "807" 1
"3" "808" 3
"3" "809" 1
"3" "813" 27
"3" "839" 1
"3" "846" 3
"3" "847" 1
"3" "848" 1
"3" "851" 7
"3" "852" 1
"3" "860" 14
"3" "861" 4
"3" "870" 1
"3" "873" 10
"3" "881" 1
"3" "882" 11
"3" "885" 1
"3" "891" 14
"3" "908" 1
"3" "920" 10
"3" "921" 1
"3" "926" 9
"3" "928" 1
"3" "939" 1
"3" "940" 1
"3" "941" 3
"3" "943" 1
"3" "946" 2
"3" "947" 1
"3" "948" 1
"3" "951" 1
"3" "958" 1
"3" "963" 1
"3" "969" 1
"3" "970" 1
"3" "972" 1
"3" "983" 1
"3" "984" 1
"3" "987" 20
"3" "992" 1
"3" "994" 4
"3" "995" 1
"3" "996" 3
"3" "998" 2
"3" "1002" 1
"3" "1003" 2
"3" "1005" 1
"3" "1009" 1
"3" "1017" 7
"3" "1027" 15
"3" "1030" 1
"3" "1035" 1
"3" "1037" 1
"3" "1045" 2
"3" "1046" 3
"3" "1051" 1
"3" "1058" 5
"3" "1059" 1
"3" "1060" 1
"3" "1061" 1
"3" "1065" 1
"3" "1069" 1
"3" "1070" 23
"3" "1072" 1
"3" "1074" 20
"3" "1075" 1
"3" "1077" 1
"3" "1081" 5
"3" "1083" 2
"3" "1084" 1
"3" "1091" 1
"3" "1092" 14
"3" "1094" 1
"3" "1107" 1
"3" "1109" 2
"4" "5" 17
"4" "6" 2
"4" "7" 24
"4" "8" 37
"4" "9" 16
"4" "10" 71
"4" "11" 16
"4" "12" 44
"4" "14" 11
"4" "15" 66
"4" "17" 84
"4" "18" 48
"4" "19" 25
"4" "20" 17
"4" "21" 7
"4" "22" 55
"4" "23" 53
"4" "24" 39
"4" "25" 24
"4" "26" 28
"4" "27" 15
"4" "29" 23
"4" "30" 12
"4" "31" 26
"4" "32" 22
"4" "33" 18
"4" "34" 13
"4" "35" 26
"4" "36" 4
"4" "37" 21
"4" "38" 2
"4" "39" 36
"4" "40" 4
"4" "41" 15
"4" "42" 16
"4" "43" 12
"4" "44" 9
"4" "45" 22
"4" "46" 5
"4" "47" 19
"4" "48" 15
"4" "49" 36
"4" "50" 2
"4" "51" 17
"4" "52" 54
"4" "53" 55
"4" "54" 58
"4" "55" 12
"4" "56" 35
"4" "57" 25
"4" "58" 23
"4" "59" 15
"4" "60" 39
"4" "61" 24
"4" "62" 24
"4" "70" 16
"4" "73" 1
"4" "81" 10
"4" "88" 18
"4" "90" 5
"4" "93" 1
"4" "95" 7
"4" "102" 1
"4" "104" 1
"4" "105" 1
"4" "106" 1
"4" "113" 1
"4" "114" 2
"4" "115" 49
"4" "120" 20
"4" "121" 6
"4" "126" 1
"4" "144" 6
"4" "148" 1
"4" "150" 65
"4" "151" 12
"4" "153" 17
"4" "155" 1
"4" "159" 3
"4" "176" 1
"4" "269" 1
"4" "271" 5
"4" "277" 1
"4" "279" 1
"4" "284" 1
"4" "285" 1
"4" "287" 10
"4" "292" 1
"4" "294" 4
"4" "297" 1
"4" "306" 22
"4" "311" 21
"4" "315" 1
"4" "318" 12
"4" "325" 1
"4" "329" 1
"4" "332" 1
"4" "337" 22
"4" "338" 16
"4" "345" 30
"4" "353" 4
"4" "357" 1
"4" "358" 1
"4" "360" 1
"4" "361" 1
"4" "363" 13
"4" "375" 33
"4" "377" 63
"4" "396" 24
"4" "401" 50
"4" "403" 1
"4" "408" 1
"4" "410" 5
"4" "424" 3
"4" "425" 1
"4" "427" 7
"4" "433" 29
"4" "435" 2
"4" "436" 46
"4" "437" 25
"4" "439" 52
"4" "446" 2
"4" "448" 1
"4" "459" 2
"4" "460" 13
"4" "462" 1
"4" "463" 64
"4" "465" 1
"4" "472" 34
"4" "475" 1
"4" "487" 1
"4" "495" 1
"4" "501" 1
"4" "505" 1
"4" "506" 1
"4" "507" 1
"4" "511" 1
"4" "516" 1
"4" "517" 1
"4" "529" 1
"4" "534" 14
"4" "539" 1
"4" "540" 3
"4" "541" 1
"4" "543" 1
"4" "548" 15
"4" "554" 1
"4" "557" 45
"4" "558" 1
"4" "563" 1
"4" "574" 25
"4" "575" 8
"4" "585" 2
"4" "590" 1
"4" "596" 3
"4" "599" 1
"4" "609" 1
"4" "611" 34
"4" "615" 1
"4" "617" 1
"4" "622" 1
"4" "631" 1
"4" "638" 1
"4" "639" 1
"4" "642" 1
"4" "676" 8
"4" "682" 1
"4" "689" 1
"4" "697" 1
"4" "702" 1
"4" "704" 1
"4" "705" 1
"4" "727" 1
"4" "731" 1
"4" "742" 1
"4" "745" 1
"4" "751" 1
"4" "757" 1
"4" "763" 1
"4" "768" 1
"4" "784" 1
"4" "793" 1
"4" "796" 1
"4" "798" 1
"4" "799" 1
"4" "800" 1
"4" "802" 2
"4" "813" 35
"4" "827" 1
"4" "836" 1
"4" "841" 1
"4" "846" 2
"4" "849" 1
"4" "851" 20
"4" "860" 41
"4" "861" 3
"4" "873" 14
"4" "881" 1
"4" "882" 12
"4" "891" 15
"4" "896" 1
"4" "900" 1
"4" "920" 39
"4" "921" 1
"4" "926" 17
"4" "928" 1
"4" "934" 1
"4" "936" 1
"4" "939" 1
"4" "941" 2
"4" "942" 1
"4" "953" 1
"4" "957" 1
"4" "958" 1
"4" "959" 1
"4" "963" 1
"4" "966" 1
"4" "968" 1
"4" "969" 1
"4" "972" 1
"4" "977" 1
"4" "987" 1
"4" "992" 1
"4" "993" 1
"4" "994" 2
"4" "996" 4
"4" "998" 5
"4" "1003" 29
"4" "1005" 1
"4" "1006" 1
"4" "1009" 1
"4" "1012" 1
"4" "1027" 9
"4" "1028" 1
"4" "1030" 1
"4" "1033" 1
"4" "1038" 1
"4" "1046" 9
"4" "1058" 40
"4" "1065" 1
"4" "1067" 1
"4" "1070" 7
"4" "1074" 35
"4" "1075" 1
"4" "1081" 43
"4" "1082" 1
"4" "1083" 14
"4" "1087" 2
"4" "1088" 1
"4" "1092" 17
"4" "1107" 1
"4" "1109" 14
"5" "6" 30
"5" "7" 58
"5" "8" 19
"5" "9" 47
"5" "10" 39
"5" "11" 25
"5" "12" 19
"5" "13" 25
"5" "14" 46
"5" "15" 26
"5" "16" 37
"5" "17" 40
"5" "18" 18
"5" "19" 34
"5" "20" 41
"5" "21" 38
"5" "22" 27
"5" "23" 25
"5" "24" 40
