"a" "b" "tinicio" "tfinal" "tcontato"
"1" "9" 5355000 5355000 0
"1" "9" 5367000 5367000 0
"1" "9" 5605000 5605000 0
"1" "9" 5614000 5614000 0
"1" "9" 5655000 5655000 0
"1" "9" 5685000 5701000 16000
"1" "9" 5714000 5714000 0
"1" "9" 5719000 5769000 50000
"1" "9" 5799000 5799000 0
"1" "9" 5824000 5828000 4000
"1" "9" 5892000 5912000 20000
"1" "9" 5933000 5934000 1000
"1" "9" 5977000 5977000 0
"1" "9" 5990000 6003000 13000
"1" "9" 6035000 6035000 0
"1" "9" 6188000 6188000 0
"1" "9" 6250000 6251000 1000
"1" "9" 6386000 6402000 16000
"1" "9" 6612000 6612000 0
"1" "9" 6656000 6683000 27000
"1" "9" 6706000 6706000 0
"1" "9" 6736000 6736000 0
"1" "9" 6747000 6747000 0
"1" "9" 6782000 6782000 0
"1" "9" 6857000 6882000 25000
"1" "9" 6940000 6940000 0
"1" "9" 6964000 6964000 0
"1" "9" 6971000 6971000 0
"1" "9" 7015000 7015000 0
"1" "9" 7063000 7063000 0
"1" "9" 7130000 7130000 0
"1" "9" 7183000 7220000 37000
"1" "9" 7276000 7276000 0
"1" "9" 7306000 7306000 0
"1" "9" 7343000 7343000 0
"1" "9" 7378000 7400000 22000
"1" "9" 7439000 7457000 18000
"1" "9" 7461000 7485000 24000
"1" "9" 7522000 7522000 0
"1" "9" 7570000 7570000 0
"1" "9" 7592000 7606000 14000
"1" "9" 7833000 7856000 23000
"1" "9" 7874000 7877000 3000
"1" "9" 7887000 7909000 22000
"1" "9" 7929000 7929000 0
"1" "9" 7941000 7941000 0
"1" "9" 8001000 8001000 0
"1" "9" 8039000 8039000 0
"1" "9" 8074000 8090000 16000
"1" "9" 8113000 8113000 0
"1" "9" 8120000 8120000 0
"1" "9" 8127000 8142000 15000
"1" "9" 8202000 8231000 29000
"1" "9" 8323000 8323000 0
"1" "9" 8548000 8548000 0
"1" "9" 8934000 8934000 0
"1" "9" 8963000 8963000 0
"1" "10" 3916000 3946000 30000
"1" "10" 3959000 3973000 14000
"1" "10" 3979000 3979000 0
"1" "10" 4007000 4007000 0
"1" "10" 4010000 4010000 0
"1" "10" 4224000 4224000 0
"1" "10" 4246000 4246000 0
"1" "10" 4341000 4341000 0
"1" "10" 4367000 4367000 0
"1" "10" 4396000 4396000 0
"1" "10" 4421000 4421000 0
"1" "10" 4422000 4439000 17000
"1" "10" 4447000 4487000 40000
"1" "10" 4516000 4593000 77000
"1" "10" 4634000 4651000 17000
"1" "10" 4663000 4663000 0
"1" "10" 4721000 4721000 0
"1" "10" 4752000 4775000 23000
"1" "10" 6755000 6773000 18000
"1" "10" 6801000 6801000 0
"1" "10" 6818000 6818000 0
"1" "10" 6824000 6824000 0
"1" "10" 6857000 6857000 0
"1" "10" 6906000 6942000 36000
"1" "10" 6955000 6955000 0
"1" "10" 6957000 6973000 16000
"1" "10" 7850000 7850000 0
"1" "10" 7908000 7908000 0
"1" "10" 7926000 7926000 0
"1" "10" 8113000 8113000 0
"1" "10" 8120000 8127000 7000
"1" "10" 8145000 8160000 15000
"1" "10" 8172000 8172000 0
"1" "10" 8186000 8186000 0
"1" "10" 8203000 8203000 0
"1" "10" 9337000 9352000 15000
"1" "10" 9453000 9453000 0
"1" "11" 1532000 1532000 0
"1" "11" 1571000 1571000 0
"1" "11" 1730000 1746000 16000
"1" "11" 1770000 1785000 15000
"1" "11" 2074000 2074000 0
"1" "11" 2479000 2479000 0
"1" "11" 2507000 2507000 0
"1" "11" 2513000 2525000 12000
"1" "11" 2545000 2545000 0
"1" "11" 2719000 2719000 0
"1" "11" 2727000 2727000 0
"1" "11" 3284000 3298000 14000
"1" "11" 3300000 3313000 13000
"1" "11" 3334000 3346000 12000
"1" "11" 3354000 3354000 0
"1" "11" 3624000 3630000 6000
"1" "11" 3896000 3896000 0
"1" "11" 5305000 5305000 0
"1" "11" 5307000 5307000 0
"1" "11" 5340000 5340000 0
"1" "11" 5411000 5411000 0
"1" "11" 5516000 5516000 0
"1" "11" 5701000 5701000 0
"1" "11" 5713000 5713000 0
"1" "11" 5799000 5818000 19000
"1" "11" 5825000 5825000 0
"1" "11" 5849000 5849000 0
"1" "11" 5878000 5878000 0
"1" "11" 6324000 6324000 0
"1" "11" 7680000 7691000 11000
"1" "11" 7701000 7701000 0
"1" "11" 7800000 7800000 0
"1" "11" 7911000 7911000 0
"1" "11" 7961000 7961000 0
"1" "11" 7962000 7962000 0
"1" "11" 8116000 8127000 11000
"1" "11" 8160000 8160000 0
"1" "11" 8169000 8169000 0
"1" "11" 8246000 8246000 0
"1" "11" 9301000 9301000 0
"1" "11" 10019000 10019000 0
"1" "12" 1557000 1557000 0
"1" "12" 1579000 1579000 0
"1" "12" 1613000 1613000 0
"1" "12" 1634000 1634000 0
"1" "12" 1664000 1664000 0
"1" "12" 1823000 1823000 0
"1" "12" 1964000 1964000 0
"1" "12" 1992000 1992000 0
"1" "12" 2039000 2039000 0
"1" "12" 2239000 2241000 2000
"1" "12" 2288000 2288000 0
"1" "12" 2289000 2289000 0
"1" "12" 2307000 2307000 0
"1" "12" 2323000 2323000 0
"1" "12" 2324000 2347000 23000
"1" "12" 3033000 3033000 0
"1" "12" 3044000 3072000 28000
"1" "12" 5040000 5072000 32000
"1" "12" 5097000 5150000 53000
"1" "12" 6664000 6681000 17000
"1" "12" 6683000 6683000 0
"1" "12" 6706000 6725000 19000
"1" "12" 7800000 7800000 0
"1" "12" 7812000 7812000 0
"1" "12" 7843000 7861000 18000
"1" "12" 7871000 7871000 0
"1" "12" 7923000 7923000 0
"1" "12" 7926000 7926000 0
"1" "12" 7940000 7940000 0
"1" "12" 8116000 8116000 0
"1" "12" 8162000 8162000 0
"1" "12" 8199000 8199000 0
"1" "12" 8323000 8323000 0
"1" "12" 8341000 8341000 0
"1" "12" 9139000 9153000 14000
"1" "12" 10079000 10079000 0
"1" "13" 947000 947000 0
"1" "13" 972000 972000 0
"1" "13" 1306000 1306000 0
"1" "13" 1359000 1359000 0
"1" "13" 1367000 1381000 14000
"1" "13" 1388000 1388000 0
"1" "13" 1415000 1415000 0
"1" "13" 1418000 1418000 0
"1" "13" 1468000 1468000 0
"1" "13" 1477000 1477000 0
"1" "13" 1502000 1502000 0
"1" "13" 1509000 1509000 0
"1" "13" 1543000 1543000 0
"1" "13" 2525000 2525000 0
"1" "13" 2822000 2841000 19000
"1" "13" 2877000 2924000 47000
"1" "13" 3047000 3047000 0
"1" "13" 3079000 3079000 0
"1" "13" 3094000 3110000 16000
"1" "13" 3140000 3140000 0
"1" "13" 3165000 3165000 0
"1" "13" 3194000 3194000 0
"1" "13" 3482000 3482000 0
"1" "13" 3587000 3587000 0
"1" "13" 3589000 3589000 0
"1" "13" 5497000 5497000 0
"1" "13" 5516000 5516000 0
"1" "13" 5950000 5964000 14000
