"a" "b" "tinicio" "tfinal" "tcontato"
"1" "11" 3624 3630 6
"1" "11" 3896 3896 0
"1" "11" 5305 5305 0
"1" "11" 5307 5307 0
"1" "11" 5340 5340 0
"1" "11" 5411 5411 0
"1" "11" 5516 5516 0
"1" "11" 5701 5701 0
"1" "11" 5713 5713 0
"1" "11" 5799 5818 19
"1" "11" 5825 5825 0
"1" "11" 5849 5849 0
"1" "11" 5878 5878 0
"1" "11" 6324 6324 0
"1" "11" 7680 7691 11
"1" "11" 7701 7701 0
"1" "11" 7800 7800 0
"1" "11" 7911 7911 0
"1" "11" 7961 7961 0
"1" "11" 7962 7962 0
"1" "11" 8116 8127 11
"1" "11" 8160 8160 0
"1" "11" 8169 8169 0
"1" "11" 8246 8246 0
"1" "11" 9301 9301 0
"1" "11" 10019 10019 0
"1" "12" 1557 1557 0
"1" "12" 1579 1579 0
"1" "12" 1613 1613 0
"1" "12" 1634 1634 0
"1" "12" 1664 1664 0
"1" "12" 1823 1823 0
"1" "12" 1964 1964 0
"1" "12" 1992 1992 0
"1" "12" 2039 2039 0
"1" "12" 2239 2241 2
"1" "12" 2288 2288 0
"1" "12" 2289 2289 0
"1" "12" 2307 2307 0
"1" "12" 2323 2323 0
"1" "12" 2324 2347 23
"1" "12" 3033 3033 0
"1" "12" 3044 3072 28
"1" "12" 5040 5072 32
"1" "12" 5097 5150 53
"1" "12" 6664 6681 17
"1" "12" 6683 6683 0
"1" "12" 6706 6725 19
"1" "12" 7800 7800 0
"1" "12" 7812 7812 0
"1" "12" 7843 7861 18
"1" "12" 7871 7871 0
"1" "12" 7923 7923 0
"1" "12" 7926 7926 0
"1" "12" 7940 7940 0
"1" "12" 8116 8116 0
"1" "12" 8162 8162 0
"1" "12" 8199 8199 0
"1" "12" 8323 8323 0
"1" "12" 8341 8341 0
"1" "12" 9139 9153 14
"1" "12" 10079 10079 0
"1" "13" 947 947 0
"1" "13" 972 972 0
"1" "13" 1306 1306 0
"1" "13" 1359 1359 0
"1" "13" 1367 1381 14
"1" "13" 1388 1388 0
"1" "13" 1415 1415 0
"1" "13" 1418 1418 0
"1" "13" 1468 1468 0
"1" "13" 1477 1477 0
"1" "13" 1502 1502 0
"1" "13" 1509 1509 0
"1" "13" 1543 1543 0
"1" "13" 2525 2525 0
"1" "13" 2822 2841 19
"1" "13" 2877 2924 47
"1" "13" 3047 3047 0
"1" "13" 3079 3079 0
"1" "13" 3094 3110 16
"1" "13" 3140 3140 0
"1" "13" 3165 3165 0
"1" "13" 3194 3194 0
"1" "13" 3482 3482 0
"1" "13" 3587 3587 0
"1" "13" 3589 3589 0
"1" "13" 5497 5497 0
"1" "13" 5516 5516 0
"1" "13" 5950 5964 14
"1" "13" 5991 5991 0
"1" "13" 6007 6007 0
"1" "13" 6017 6017 0
"1" "13" 6043 6076 33
"1" "13" 6250 6250 0
"1" "13" 6263 6263 0
"1" "13" 8039 8039 0
"1" "13" 8078 8078 0
"1" "13" 8282 8282 0
"1" "14" 1197 1197 0
"1" "14" 1250 1250 0
"1" "14" 1279 1285 6
"1" "14" 1323 1331 8
"1" "14" 1409 1585 176
"1" "14" 1599 1599 0
"1" "14" 1617 1624 7
"1" "14" 1650 1680 30
"1" "14" 1747 1747 0
"1" "14" 1799 1813 14
"1" "14" 2144 2157 13
"1" "14" 2192 2192 0
"1" "14" 2194 2194 0
"1" "14" 2219 2219 0
"1" "14" 2324 2324 0
"1" "14" 2390 2390 0
"1" "14" 2396 2396 0
"1" "14" 2419 2419 0
"1" "14" 2436 2436 0
"1" "14" 2590 2590 0
"1" "14" 2642 2668 26
"1" "14" 2693 2693 0
"1" "14" 2699 2702 3
"1" "14" 2724 2746 22
"1" "14" 3703 3703 0
"1" "14" 3771 3771 0
"1" "14" 5563 5563 0
"1" "14" 5587 5587 0
"1" "14" 5620 5620 0
"1" "14" 5652 5652 0
"1" "14" 5660 5692 32
"1" "14" 7836 7836 0
"1" "14" 7886 7886 0
"1" "14" 7927 7927 0
"1" "14" 7954 7970 16
"1" "14" 7990 8001 11
"1" "14" 8102 8102 0
"1" "14" 8134 8134 0
"1" "14" 8154 8154 0
"1" "14" 8323 8323 0
"1" "14" 8354 8354 0
"1" "14" 8358 8358 0
"1" "14" 8377 8377 0
"1" "14" 8934 8934 0
"1" "14" 8952 8952 0
"1" "15" 961 961 0
"1" "15" 1025 1031 6
"1" "15" 1077 1097 20
"1" "15" 1129 1141 12
"1" "15" 1169 1169 0
"1" "15" 1177 1206 29
"1" "15" 1707 1707 0
"1" "15" 1964 1999 35
"1" "15" 2014 2014 0
"1" "15" 2312 2312 0
"1" "15" 2411 2411 0
"1" "15" 2579 2579 0
"1" "15" 2672 2672 0
"1" "15" 3180 3194 14
"1" "15" 3375 3375 0
"1" "15" 4074 4074 0
"1" "15" 4103 4117 14
"1" "15" 4159 4171 12
"1" "15" 4220 4220 0
"1" "15" 4261 4272 11
"1" "15" 4295 4295 0
"1" "15" 4301 4301 0
"1" "15" 4336 4347 11
"1" "15" 4414 4414 0
"1" "15" 4422 4422 0
"1" "15" 4490 4497 7
"1" "15" 4557 4557 0
"1" "15" 4595 4595 0
"1" "15" 4646 4646 0
"1" "15" 4682 4687 5
"1" "15" 6794 6794 0
"1" "15" 6796 6796 0
"1" "15" 6833 6833 0
"1" "15" 6887 6887 0
"1" "15" 6923 6923 0
"1" "15" 6971 6971 0
"1" "15" 7389 7389 0
"1" "15" 7974 7974 0
"1" "15" 8019 8019 0
"1" "15" 8142 8142 0
"1" "15" 9594 9594 0
"1" "15" 9605 9605 0
"1" "16" 1111 1111 0
"1" "16" 1139 1139 0
"1" "16" 1432 1432 0
"1" "16" 1502 1502 0
"1" "16" 1510 1510 0
"1" "16" 1657 1657 0
"1" "16" 1935 1935 0
"1" "16" 2001 2001 0
"1" "16" 2014 2014 0
"1" "16" 2028 2044 16
"1" "16" 2099 2118 19
"1" "16" 2194 2194 0
"1" "16" 2289 2292 3
"1" "16" 2449 2449 0
"1" "16" 2452 2452 0
"1" "16" 2492 2526 34
"1" "16" 2537 2537 0
"1" "16" 2561 2564 3
"1" "16" 2829 2829 0
"1" "16" 2847 2868 21
"1" "16" 2877 2912 35
"1" "16" 2937 2937 0
"1" "16" 2970 2988 18
"1" "16" 3040 3040 0
"1" "16" 3073 3073 0
"1" "16" 3081 3081 0
"1" "16" 3110 3110 0
"1" "16" 3165 3165 0
"1" "16" 3300 3313 13
"1" "16" 3329 3329 0
"1" "16" 3356 3375 19
"1" "16" 3406 3426 20
"1" "16" 3565 3565 0
"1" "16" 3603 3603 0
"1" "16" 3613 3613 0
"1" "16" 5633 5666 33
"1" "16" 5912 5932 20
"1" "16" 5964 6011 47
"1" "16" 6064 6064 0
"1" "16" 6169 6169 0
"1" "16" 6207 6207 0
"1" "16" 6216 6216 0
"1" "16" 6236 6236 0
"1" "16" 6258 6258 0
"1" "16" 6263 6263 0
"1" "16" 6293 6293 0
"1" "16" 7847 7847 0
"1" "16" 7871 7871 0
"1" "16" 7880 7880 0
"1" "16" 8159 8159 0
"1" "16" 8171 8182 11
"1" "16" 8493 8537 44
"1" "16" 8548 8548 0
"1" "16" 8575 8575 0
"1" "17" 1111 1111 0
"1" "17" 1168 1174 6
"1" "17" 2775 2775 0
"1" "17" 2778 2778 0
"1" "17" 3013 3013 0
"1" "17" 3941 3941 0
"1" "17" 4007 4009 2
"1" "17" 4246 4246 0
"1" "17" 4286 4286 0
"1" "17" 4301 4301 0
"1" "17" 4307 4307 0
"1" "17" 4376 4376 0
