"a" "b" "duracao"
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 26
"1" "14" 0
"1" "14" 3
"1" "14" 22
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 32
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 16
"1" "14" 11
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "14" 0
"1" "15" 0
"1" "15" 6
"1" "15" 20
"1" "15" 12
"1" "15" 0
"1" "15" 29
"1" "15" 0
"1" "15" 35
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 14
"1" "15" 0
"1" "15" 0
"1" "15" 14
"1" "15" 12
"1" "15" 0
"1" "15" 11
"1" "15" 0
"1" "15" 0
"1" "15" 11
"1" "15" 0
"1" "15" 0
"1" "15" 7
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 5
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "15" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 16
"1" "16" 19
"1" "16" 0
"1" "16" 3
"1" "16" 0
"1" "16" 0
"1" "16" 34
"1" "16" 0
"1" "16" 3
"1" "16" 0
"1" "16" 21
"1" "16" 35
"1" "16" 0
"1" "16" 18
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 13
"1" "16" 0
"1" "16" 19
"1" "16" 20
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 33
"1" "16" 20
"1" "16" 47
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 0
"1" "16" 11
"1" "16" 44
"1" "16" 0
"1" "16" 0
"1" "17" 0
"1" "17" 6
"1" "17" 0
"1" "17" 0
"1" "17" 0
"1" "17" 0
"1" "17" 2
"1" "17" 0
"1" "17" 0
"1" "17" 0
"1" "17" 0
"1" "17" 0
"1" "17" 0
"1" "17" 0
"1" "17" 17
"1" "17" 0
"1" "17" 0
"1" "17" 0
"1" "17" 0
"1" "17" 0
"1" "17" 0
"1" "18" 0
"1" "18" 15
"1" "18" 0
"1" "18" 0
"1" "18" 0
"1" "18" 0
"1" "18" 61
"1" "18" 0
"1" "18" 0
"1" "19" 0
"1" "19" 0
"1" "19" 0
"1" "19" 0
"1" "19" 0
"1" "19" 0
"1" "19" 0
"1" "19" 16
"1" "19" 0
"1" "19" 0
"1" "19" 0
"1" "19" 0
"1" "19" 0
"1" "19" 19
"1" "19" 20
"1" "20" 0
"1" "20" 0
"1" "20" 3
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 17
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 12
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 11
"1" "20" 0
"1" "20" 0
"1" "20" 29
"1" "20" 21
"1" "20" 27
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 0
"1" "20" 18
"1" "20" 3
"1" "21" 16
"1" "21" 0
"1" "21" 0
"1" "21" 66
"1" "21" 0
"1" "21" 15
"1" "21" 0
"1" "21" 32
"1" "21" 2
"1" "21" 0
"1" "21" 31
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 5
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 26
"1" "21" 12
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 27
"1" "21" 0
"1" "21" 12
"1" "21" 0
"1" "21" 17
"1" "21" 12
"1" "21" 16
"1" "21" 35
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 19
"1" "21" 0
"1" "21" 55
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 0
"1" "21" 15
"1" "21" 0
"1" "21" 0
"1" "21" 117
"1" "21" 16
"1" "21" 21
"1" "22" 0
"1" "22" 0
"1" "22" 0
"1" "22" 0
"1" "22" 15
"1" "22" 0
"1" "22" 12
"1" "22" 2
"1" "22" 0
"1" "22" 15
"1" "22" 0
"1" "22" 0
"1" "22" 16
"1" "22" 0
"1" "22" 0
"1" "22" 0
"1" "22" 0
"1" "22" 0
"1" "22" 0
"1" "22" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 18
"1" "23" 0
"1" "23" 15
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 2
"1" "23" 0
"1" "23" 45
"1" "23" 35
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 1
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "23" 0
"1" "24" 0
"1" "24" 6
"1" "24" 0
"1" "24" 0
"1" "24" 0
"1" "24" 0
"1" "24" 33
"1" "24" 0
"1" "24" 0
"1" "25" 11
"1" "25" 0
"1" "25" 0
"1" "25" 11
"1" "25" 15
"1" "25" 0
"1" "25" 67
"1" "25" 0
"1" "25" 24
"1" "25" 108
"1" "25" 0
"1" "25" 18
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 34
"1" "25" 0
"1" "25" 39
"1" "25" 55
"1" "25" 14
"1" "25" 0
"1" "25" 32
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 31
"1" "25" 30
"1" "25" 0
"1" "25" 0
"1" "25" 47
"1" "25" 0
"1" "25" 0
"1" "25" 16
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 146
"1" "25" 0
"1" "25" 32
"1" "25" 12
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 20
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 23
"1" "25" 0
"1" "25" 21
"1" "25" 118
"1" "25" 47
"1" "25" 93
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 3
"1" "25" 76
"1" "25" 0
"1" "25" 0
"1" "25" 13
"1" "25" 59
"1" "25" 0
"1" "25" 12
"1" "25" 16
"1" "25" 20
"1" "25" 14
"1" "25" 68
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 65
"1" "25" 34
"1" "25" 20
"1" "25" 51
"1" "25" 124
"1" "25" 0
"1" "25" 0
"1" "25" 9
"1" "25" 14
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 15
"1" "25" 0
"1" "25" 0
"1" "25" 16
"1" "25" 16
"1" "25" 0
"1" "25" 0
"1" "25" 58
"1" "25" 0
"1" "25" 68
"1" "25" 0
"1" "25" 0
"1" "25" 20
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 9
"1" "25" 0
"1" "25" 20
"1" "25" 21
"1" "25" 14
"1" "25" 36
"1" "25" 25
"1" "25" 23
"1" "25" 42
"1" "25" 17
"1" "25" 15
"1" "25" 61
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 20
"1" "25" 0
"1" "25" 27
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 17
"1" "25" 33
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 0
"1" "25" 21
"1" "25" 14
"1" "25" 14
"1" "25" 18
"1" "25" 34
"1" "25" 34
"1" "25" 0
"1" "25" 19
"1" "25" 22
"1" "25" 17
"1" "25" 2
"1" "25" 0
"1" "25" 39
"1" "25" 11
"1" "25" 0
"1" "25" 0
"1" "25" 11
"1" "25" 13
"1" "25" 1
"1" "25" 6
"1" "25" 46
"1" "25" 11
"1" "25" 2
"1" "25" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 12
"1" "26" 2
"1" "26" 0
"1" "26" 0
"1" "26" 2
"1" "26" 1
"1" "26" 0
"1" "26" 0
"1" "26" 7
"1" "26" 19
"1" "26" 7
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 12
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "26" 0
"1" "27" 0
"1" "27" 0
"1" "27" 16
"1" "27" 0
"1" "27" 0
"1" "27" 11
"1" "27" 0
"1" "27" 20
"1" "27" 14
"1" "27" 0
"1" "27" 0
"1" "28" 0
"1" "28" 12
"1" "28" 0
"1" "28" 0
"1" "28" 0
"1" "28" 0
"1" "28" 0
"1" "28" 0
"1" "28" 0
"1" "29" 0
"1" "29" 0
"1" "29" 0
"1" "29" 0
"1" "29" 0
"1" "29" 0
"1" "29" 18
"1" "29" 0
"1" "29" 0
"1" "29" 0
"1" "29" 0
"1" "29" 0
"1" "29" 0
"1" "30" 29
"1" "30" 0
"1" "30" 0
"1" "30" 0
"1" "30" 0
"1" "30" 0
"1" "30" 0
"1" "30" 0
"1" "30" 13
"1" "30" 6
"1" "30" 0
"1" "30" 0
"1" "30" 0
"1" "30" 0
"1" "30" 18
"1" "30" 0
"1" "30" 0
"1" "30" 18
"1" "30" 4
