"tempo" "com" "a" "b" "status"
"9544000" "CONN" "1" "1092" "down"
"7651000" "CONN" "1" "1095" "up"
"7651000" "CONN" "1" "1095" "down"
"997000" "CONN" "1" "11" "up"
"997000" "CONN" "1" "11" "down"
"1036000" "CONN" "1" "11" "up"
"1036000" "CONN" "1" "11" "down"
"1195000" "CONN" "1" "11" "up"
"1211000" "CONN" "1" "11" "down"
"1235000" "CONN" "1" "11" "up"
"1250000" "CONN" "1" "11" "down"
"1539000" "CONN" "1" "11" "up"
"1539000" "CONN" "1" "11" "down"
"1944000" "CONN" "1" "11" "up"
"1944000" "CONN" "1" "11" "down"
"1972000" "CONN" "1" "11" "up"
"1972000" "CONN" "1" "11" "down"
"1978000" "CONN" "1" "11" "up"
"1990000" "CONN" "1" "11" "down"
"2010000" "CONN" "1" "11" "up"
"2010000" "CONN" "1" "11" "down"
"2184000" "CONN" "1" "11" "up"
"2184000" "CONN" "1" "11" "down"
"2192000" "CONN" "1" "11" "up"
"2192000" "CONN" "1" "11" "down"
"2749000" "CONN" "1" "11" "up"
"2763000" "CONN" "1" "11" "down"
"2765000" "CONN" "1" "11" "up"
"2778000" "CONN" "1" "11" "down"
"2799000" "CONN" "1" "11" "up"
"2811000" "CONN" "1" "11" "down"
"2819000" "CONN" "1" "11" "up"
"2819000" "CONN" "1" "11" "down"
"3089000" "CONN" "1" "11" "up"
"3095000" "CONN" "1" "11" "down"
"3361000" "CONN" "1" "11" "up"
"3361000" "CONN" "1" "11" "down"
"4770000" "CONN" "1" "11" "up"
"4770000" "CONN" "1" "11" "down"
"4772000" "CONN" "1" "11" "up"
"4772000" "CONN" "1" "11" "down"
"4805000" "CONN" "1" "11" "up"
"4805000" "CONN" "1" "11" "down"
"4876000" "CONN" "1" "11" "up"
"4876000" "CONN" "1" "11" "down"
"4981000" "CONN" "1" "11" "up"
"4981000" "CONN" "1" "11" "down"
"5166000" "CONN" "1" "11" "up"
"5166000" "CONN" "1" "11" "down"
"5178000" "CONN" "1" "11" "up"
"5178000" "CONN" "1" "11" "down"
"5264000" "CONN" "1" "11" "up"
"5283000" "CONN" "1" "11" "down"
"5290000" "CONN" "1" "11" "up"
"5290000" "CONN" "1" "11" "down"
"5314000" "CONN" "1" "11" "up"
"5314000" "CONN" "1" "11" "down"
"5343000" "CONN" "1" "11" "up"
"5343000" "CONN" "1" "11" "down"
"5789000" "CONN" "1" "11" "up"
"5789000" "CONN" "1" "11" "down"
"7145000" "CONN" "1" "11" "up"
"7156000" "CONN" "1" "11" "down"
"7166000" "CONN" "1" "11" "up"
"7166000" "CONN" "1" "11" "down"
"7265000" "CONN" "1" "11" "up"
"7265000" "CONN" "1" "11" "down"
"7376000" "CONN" "1" "11" "up"
"7376000" "CONN" "1" "11" "down"
"7426000" "CONN" "1" "11" "up"
"7426000" "CONN" "1" "11" "down"
"7427000" "CONN" "1" "11" "up"
"7427000" "CONN" "1" "11" "down"
"7581000" "CONN" "1" "11" "up"
"7592000" "CONN" "1" "11" "down"
"7625000" "CONN" "1" "11" "up"
"7625000" "CONN" "1" "11" "down"
"7634000" "CONN" "1" "11" "up"
"7634000" "CONN" "1" "11" "down"
"7711000" "CONN" "1" "11" "up"
"7711000" "CONN" "1" "11" "down"
"8766000" "CONN" "1" "11" "up"
"8766000" "CONN" "1" "11" "down"
"9484000" "CONN" "1" "11" "up"
"9484000" "CONN" "1" "11" "down"
"4074000" "CONN" "1" "1103" "up"
"4074000" "CONN" "1" "1103" "down"
"3455000" "CONN" "1" "1107" "up"
"3455000" "CONN" "1" "1107" "down"
"3507000" "CONN" "1" "1109" "up"
"3507000" "CONN" "1" "1109" "down"
"8802000" "CONN" "1" "1109" "up"
"8802000" "CONN" "1" "1109" "down"
"9188000" "CONN" "1" "1109" "up"
"9304000" "CONN" "1" "1109" "down"
"1789000" "CONN" "1" "1110" "up"
"1789000" "CONN" "1" "1110" "down"
"2026000" "CONN" "1" "113" "up"
"2026000" "CONN" "1" "113" "down"
"625000" "CONN" "1" "114" "up"
"625000" "CONN" "1" "114" "down"
